Guideline,Guideline Key,Parent ID,Merged Child IDs,Source Rule IDs
Encryption and Key Management Guideline_v2.0,encryption and key management,15.2,15.2.1,15.2.1
Human-related ICT Management Guideline_v2.0,human related ict management,3.3,"3.3.1, 3.3.2, 3.3.3","3.3.1, 3.3.2, 3.3.3"
ICT Incident & Operational Event Management Guideline_v2.0,ict incident operational event management,7.3,"7.3.1, 7.3.2, 7.3.3, 7.3.4, 7.3.5, 7.3.6","7.3.1, 7.3.2, 7.3.3, 7.3.4, 7.3.5, 7.3.6"
ICT Incident & Operational Event Management Guideline_v2.0,ict incident operational event management,12.1,"12.1.1, 12.1.2, 12.1.3, 12.1.4, 12.1.5, 12.1.6","12.1.1, 12.1.2, 12.1.3, 12.1.4, 12.1.5, 12.1.6"
ICT Operations Guideline_v2.0,ict operations,21.12,"21.12.1, 21.12.2","21.12.1, 21.12.2"
ICT Risk Management Guideline_v3.0,ict risk management,10.7,"10.7.1, 10.7.2","10.7.1, 10.7.2"
ICT Risk Management Guideline_v3.0,ict risk management,15.6,"15.6.1, 15.6.2, 15.6.3","15.6.1, 15.6.2, 15.6.3"
Identity and Access Management Guideline_v2.0,identity and access management,14.4,"14.4.1, 14.4.2, 14.4.3","14.4.1, 14.4.2, 14.4.3"
